"city","weather","visibility","temp","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","forecast_datetime","season"
"Seoul","Clear",10000,15.61,15.61,16.9,1015,64,1.2,225,"2024-05-13 15:00:00","winter"
"Seoul","Clear",10000,15.28,15.28,15.44,1016,61,1.05,185,"2024-05-13 18:00:00","winter"
"Seoul","Clear",10000,14.73,14.73,14.73,1016,57,0.91,137,"2024-05-13 21:00:00","winter"
"Seoul","Clear",10000,19.37,19.37,19.37,1017,37,1.58,197,"2024-05-14 00:00:00","winter"
"Seoul","Clear",10000,23.26,23.26,23.26,1017,24,4.32,241,"2024-05-14 03:00:00","winter"
"Seoul","Clear",10000,23.62,23.62,23.62,1015,21,4.94,247,"2024-05-14 06:00:00","winter"
"Seoul","Clear",10000,21.24,21.24,21.24,1015,24,4.01,238,"2024-05-14 09:00:00","winter"
"Seoul","Clear",10000,18.43,18.43,18.43,1016,36,1.79,236,"2024-05-14 12:00:00","winter"
"Seoul","Clear",10000,16.74,16.74,16.74,1016,45,1.39,178,"2024-05-14 15:00:00","winter"
"Seoul","Clear",10000,15.56,15.56,15.56,1015,49,1.36,191,"2024-05-14 18:00:00","winter"
"Seoul","Clouds",10000,14.74,14.74,14.74,1015,51,1.9,169,"2024-05-14 21:00:00","winter"
"Seoul","Clouds",10000,16.69,16.69,16.69,1013,57,3.48,219,"2024-05-15 00:00:00","winter"
"Seoul","Rain",10000,13.73,13.73,13.73,1013,84,3.59,313,"2024-05-15 03:00:00","winter"
"Seoul","Rain",7026,11.72,11.72,11.72,1011,88,4.73,299,"2024-05-15 06:00:00","winter"
"Seoul","Rain",5359,10.68,10.68,10.68,1010,89,4.24,60,"2024-05-15 09:00:00","winter"
"Seoul","Rain",9418,7.84,7.84,7.84,1013,87,5.16,352,"2024-05-15 12:00:00","winter"
"Seoul","Rain",10000,8.07,8.07,8.07,1013,85,2.51,327,"2024-05-15 15:00:00","winter"
"Seoul","Rain",10000,8.04,8.04,8.04,1011,87,2.16,299,"2024-05-15 18:00:00","winter"
"Seoul","Clouds",10000,8,8,8,1010,88,0.7,270,"2024-05-15 21:00:00","winter"
"Seoul","Clouds",10000,12.68,12.68,12.68,1009,61,2.32,312,"2024-05-16 00:00:00","winter"
"Seoul","Clouds",10000,18.47,18.47,18.47,1008,33,5.02,327,"2024-05-16 03:00:00","winter"
"Seoul","Clouds",10000,20.56,20.56,20.56,1008,29,4.49,339,"2024-05-16 06:00:00","winter"
"Seoul","Clear",10000,19.88,19.88,19.88,1008,32,3.47,316,"2024-05-16 09:00:00","winter"
"Seoul","Clear",10000,16.17,16.17,16.17,1011,50,1.97,214,"2024-05-16 12:00:00","winter"
"Seoul","Clear",10000,14.24,14.24,14.24,1012,64,1.94,181,"2024-05-16 15:00:00","winter"
"Seoul","Clear",10000,12.84,12.84,12.84,1013,67,1.91,175,"2024-05-16 18:00:00","winter"
"Seoul","Clear",10000,12.13,12.13,12.13,1015,61,1.45,119,"2024-05-16 21:00:00","winter"
"Seoul","Clear",10000,17.3,17.3,17.3,1015,37,1.81,141,"2024-05-17 00:00:00","winter"
"Seoul","Clear",10000,22.55,22.55,22.55,1016,39,4.39,223,"2024-05-17 03:00:00","winter"
